game_id,name,release_date,release_year,total_reviews,positive_percent,developer,publisher,genres,platforms,current_price,discounted_price,discount_percent
730,Counter-Strike 2,"21 Aug, 2012",2012,8822171,86,,,"Free To Play Games, Action, Free To Play","Windows, Linux",Free To Play,,
252490,Rust,"8 Feb, 2018",2018,1020882,87,,,"Action Games, Action, Adventure, Indie, Massively Multiplayer, RPG","Windows, Mac",$54.38 USD,"Your Price:
$39.28 USD",-4%
