game_id,title,release_date,developer,publisher,base_price
3756210,Rhya's Crusade Official Instruction Booklet,2025-05-26,Black Fortress Games,,Free To Play
3743000,Where the forest ends Demo,2025-05-26,Ivan Onokhin,Ivan Onokhin,
3681480,Nightmare Visions Chapter 1,2025-05-26,Q13Games LLC,Q13Games LLC,Free To Play
3713580,LES MILLS XR BODYCOMBAT: NEVER SURRENDER,2025-05-26,Odders Lab,Odders Lab,$5.79 USD
3743960,Kickback Clicker Demo,2025-05-26,Dot blood,Targem Games,
3713580,LES MILLS XR BODYCOMBAT: NEVER SURRENDER,2025-05-26,Odders Lab,Odders Lab,$5.79 USD
3743960,Kickback Clicker Demo,2025-05-26,Dot blood,Targem Games,
2540240,HAELE 3D - Hand Poses Pro - Drawing References,2025-05-26,Ige Olwen,HAELE 3D,$11.99 USD
3716310,Runeblade Automaton,2025-05-26,,,
3718150,The Rewinder 2 Original Soundtrack,2025-05-26,MistyMountainStudio,Gamirror Games,$2.49 USD
2915490,The Rewinder 2,2025-05-26,MistyMountainStudio,Gamirror Games,$7.64 USD
3756720,eXoSpace Combat Engineer Demo,2025-05-26,Fantastimaker,Fantastimaker,
3761590,Idle Geometry Defense Demo,2025-05-26,Urban Isotope,Urban Isotope,
3725770,Arcade Boss Simulator Demo,2025-05-26,Vangaurds of code,Vanguards of code,$2.99 USD
3725770,Arcade Boss Simulator,2025-05-26,Vangaurds of code,Vanguards of code,$2.99 USD
3666470,BackSlap Demo,2025-05-26,Dotoyou Games,Dotoyou Games,
3481480,超级妙音鸟 Super Kalavinka,2025-05-26,Hou Xiaohou,Hou Xiaohou,$4.99 USD
3566150,CONDEMNED TO BE FREE,2025-05-26,SOOMR INDUSTRIES,SOOMR INDUSTRIES,$3.59 USD
2810780,Forsaken Frontiers,2025-05-26,made in fairyland,made in fairyland,$6.79 USD
3246090,No Way Home Demo,2025-05-26,SMG Studio,SMG Studio,
3246100,SPiNG Demo,2025-05-26,SMG Studio,SMG Studio,
3745220,Metaball - Space Guide Pack,2025-05-26,Bucketplay Inc.,,$2.99 USD
3681090,Shoestrings Story Demo,2025-05-26,KITTYPOOL,WorldMap,
3429680,1899: Secrets of the Maze,2025-05-26,VELİ ARIK,VELİ ARIK,$1.86 USD
3034520,The Fox's Way Home Demo,2025-05-26,BeXide Inc.,BeXide Inc.,$5.94 USD
3277250,Catch it,2025-05-26,CCLXGAMES,CCLXGAMES,$4.63 USD
2005480,Overage - Child of Chaos Demo,2025-05-26,CopyCat Game Studios,CopyCat Game Studios,
3665350,Vampires vs Mechas Prototype,2025-05-26,Nixxsz,Nixxsz,
3645700,What Happened to Lily? Demo,2025-05-26,Montee Games,Montee Games,
3215290,Alien Market Simulator,2025-05-26,Silly Sloth Studios,Shadow Owl Studios,$5.83 USD
2450230,LifeDev,2025-05-26,Jeronimo Barraco-Marmol,Jeronimo Barraco-Marmol,$2.99 USD
1125510,Snacko,2025-05-25,Bluecurse Studios,Armor Games Studios,$9.36 USD
3692510,QWERTY Zombies Demo,2025-05-25,Blue Math,Blue Math,
2805200,Alpha Galaxy Shooting Championship,2025-05-25,.,.,$5.21 USD
3751590,TRADESMAN: Deal to Dealer - HATS Supporter Pack,2025-05-25,AZAMATIKA,,$1.99 USD
3711950,Little Kingdom RTS Demo,2025-05-25,MyDreamForever,Andgo Games,
3278190,Project: AMICA Demo,2025-05-25,dofhouse,dofhouse,
3152870,Guards II: Chaos in Hell Demo,2025-05-25,Battlecruiser Games,HeroCraft PC,
3022260,Beyond The Board Demo,2025-05-25,Guilherme Gama,Fragile Shapes Studio,
3628960,Miscrits: World of Creatures,2025-05-25,Lightning Ball Studios,Lightning Ball Studios,Free To Play
3727860,Felbound: Prologue,2025-05-25,Poink Games,Poink Games,
2358620,Spectator 2,2025-05-25,Neko Machine,indie.io,$3.89 USD
3737840,Fish Hunters 🐟 Demo,2025-05-25,Dos Ivánes,Polden Publishing,
3169060,Leftovers KO!,2025-05-25,Mountain Man Animation,Feardemic,$4.63 USD
3621860,RAIN;CHECK,2025-05-25,Meow Meow Meadows,Meow Meow Meadows,$1.49 USD
3692270,Reaper Hunt: Survivor Demo,2025-05-25,RedFlag Games,RedFlag Games,
2283940,Ancient Guardians: The Dragon,2025-05-25,Luphix,Luphix,$0.99 USD
2844310,Minigames Mayhem Demo,2025-05-25,HamsterHam Games,HamsterHam Games,$3.99 USD
3412210,Demon’s Soar,2025-05-25,CouraGGe ent.,CouraGGe ent.,$0.89 USD
3451590,Zombie Dash,2025-05-25,GrubItGames,GrubItGames,$0.89 USD
3451580,Sobakan,2025-05-25,GrubItGames,GrubItGames,$0.89 USD
3451550,Robot Problems,2025-05-25,GrubItGames,GrubItGames,$0.89 USD
3451570,Rope Guy,2025-05-25,GrubItGames,GrubItGames,$0.89 USD
3451540,Planet Hero,2025-05-25,TolaTolaGames,TolaTolaGames,$0.89 USD
3451530,Magivor,2025-05-25,TolaTolaGames,TolaTolaGames,$0.89 USD
