game_id,owners,average_forever,average_2weeks,median_forever,median_2weeks,players_forever,players_2weeks,price,initialprice,discount,ccu,followers
389430,"2,000,000 .. 5,000,000",2952,0,41,0,,,0.0,0.0,0.0,1421,
230410,"20,000,000 .. 50,000,000",12644,1236,425,401,,,0.0,0.0,0.0,36195,
3183280,"100,000 .. 200,000",1153,499,258,165,,,0.0,0.0,0.0,2634,
397540,"2,000,000 .. 5,000,000",2608,315,1264,195,,,299.0,5999.0,95.0,3164,
284160,"5,000,000 .. 10,000,000",5601,300,572,130,,,2499.0,2499.0,0.0,15863,
2054970,"2,000,000 .. 5,000,000",2445,27,1743,39,,,2939.0,6999.0,58.0,768,
3059520,"100,000 .. 200,000",768,768,621,621,,,5999.0,5999.0,0.0,5272,
266410,"500,000 .. 1,000,000",6469,272,1240,507,,,999.0,999.0,0.0,354,
2141730,"500,000 .. 1,000,000",243,219,207,264,,,999.0,999.0,0.0,569,
2772750,"500,000 .. 1,000,000",934,535,387,928,,,659.0,999.0,34.0,481,
3265250,"0 .. 20,000",0,0,0,0,,,5999.0,5999.0,0.0,0,
1273400,"500,000 .. 1,000,000",1429,193,681,193,,,3499.0,3499.0,0.0,310,
952060,"2,000,000 .. 5,000,000",902,47,435,47,,,999.0,3999.0,75.0,362,
3400930,"50,000 .. 100,000",96,96,95,95,,,495.0,550.0,10.0,3056,
1812450,"500,000 .. 1,000,000",1954,1317,678,1680,,,2399.0,2999.0,20.0,1252,
2139460,"0 .. 20,000",2627,1684,263,530,,,,,,0,
236850,"5,000,000 .. 10,000,000",19649,743,1604,357,,,4999.0,4999.0,0.0,12445,
1229490,"5,000,000 .. 10,000,000",1551,223,427,237,,,2499.0,2499.0,0.0,3122,
2252570,"1,000,000 .. 2,000,000",25883,1665,14726,1135,,,5999.0,5999.0,0.0,47931,
1771300,"2,000,000 .. 5,000,000",4219,689,4181,391,,,5999.0,5999.0,0.0,7073,
2429640,"0 .. 20,000",2936,1028,316,1825,,,,,,0,
1172620,"5,000,000 .. 10,000,000",3517,288,1123,134,,,3999.0,3999.0,0.0,5437,
413150,"20,000,000 .. 50,000,000",4600,587,1625,320,,,1499.0,1499.0,0.0,50662,
714210,"0 .. 20,000",800,133,308,133,,,,,,1325,
761890,"2,000,000 .. 5,000,000",6047,1159,170,802,,,0.0,0.0,0.0,8184,
2627260,"0 .. 20,000",0,0,0,0,,,0.0,0.0,0.0,0,
2001120,"2,000,000 .. 5,000,000",796,216,838,172,,,4999.0,4999.0,0.0,5476,
2694490,"20,000,000 .. 50,000,000",6288,1142,2635,661,,,2999.0,2999.0,0.0,16727,
1203620,"2,000,000 .. 5,000,000",2297,1253,1222,961,,,2999.0,2999.0,0.0,10654,
1604270,"0 .. 20,000",0,0,0,0,,,5999.0,5999.0,0.0,0,
1158310,"2,000,000 .. 5,000,000",7041,789,2089,331,,,4999.0,4999.0,0.0,14302,
2378620,"200,000 .. 500,000",199,0,211,0,,,479.0,1199.0,60.0,7,
2519060,"0 .. 20,000",0,0,0,0,,,6999.0,6999.0,0.0,0,
2567870,"2,000,000 .. 5,000,000",300,102,258,124,,,499.0,499.0,0.0,1154,
631510,"1,000,000 .. 2,000,000",571,178,191,292,,,989.0,2999.0,67.0,675,
2406770,"500,000 .. 1,000,000",378,80,178,86,,,3332.0,3332.0,0.0,422,
1274570,"2,000,000 .. 5,000,000",602,93,235,101,,,999.0,999.0,0.0,447,
440,"50,000,000 .. 100,000,000",10624,675,333,105,,,0.0,0.0,0.0,43819,
